'InvCoshPar_uu_width','InvCoshPar_uu_g0','InvCoshPar_uu_g1','InvCoshPar_uu_g2','InvCoshPar_uu_g3','InvCoshPar_ud_width','InvCoshPar_ud_g0','InvCoshPar_ud_g1','InvCoshPar_ud_g2','InvCoshPar_ud_g3','InvCoshPar_us_width','InvCoshPar_us_g0','InvCoshPar_us_g1','InvCoshPar_us_g2','InvCoshPar_us_g3','InvCoshPar_ss_width','InvCoshPar_ss_g0','InvCoshPar_ss_g1','InvCoshPar_ss_g2','InvCoshPar_ss_g3'
0.765669,0.128009,0.77012,0.494397,0.413725,0.478229,0.243184,0.704305,0.698252,0.261721,0.232243,0.311749,0.54488,0.217158,0.536848,0.762523,0.306805,0.820941,0.706345,0.287027
0.747972,0.122178,0.7452,0.523432,0.386714,0.475219,0.235347,0.710159,0.709864,0.25776,0.238905,0.323798,0.58072,0.205737,0.549851,0.754973,0.294447,0.811762,0.699565,0.308553
0.792058,0.162742,0.73445,0.498274,0.381766,0.483917,0.165781,0.70751,0.706921,0.272234,0.239319,0.327378,0.600073,0.197299,0.578241,0.732804,0.28483,0.847559,0.660035,0.294177
0.779149,0.164591,0.72557,0.491901,0.364834,0.435751,0.146233,0.730888,0.706001,0.269528,0.229658,0.337879,0.602275,0.204587,0.548469,0.701895,0.281698,0.834036,0.683022,0.296093
0.782716,0.182265,0.738123,0.476101,0.338077,0.42998,0.162573,0.714272,0.689345,0.27621,0.214795,0.339543,0.593389,0.211492,0.548611,0.708133,0.256642,0.841755,0.674987,0.318475
0.794148,0.191045,0.723,0.469693,0.350056,0.423839,0.171725,0.711176,0.680727,0.271105,0.216387,0.320941,0.593703,0.198785,0.549973,0.73051,0.252951,0.845541,0.638656,0.322542
0.773231,0.185442,0.708574,0.449299,0.354017,0.428565,0.149651,0.721632,0.672602,0.22395,0.183503,0.362502,0.57371,0.190202,0.550058,0.769935,0.239666,0.816576,0.650918,0.310622
0.795396,0.154163,0.694141,0.428781,0.360213,0.435106,0.169286,0.705702,0.63394,0.236168,0.189182,0.384737,0.570649,0.179274,0.548261,0.753762,0.248725,0.850794,0.63842,0.300465
0.784667,0.202618,0.690649,0.399293,0.383599,0.412735,0.189726,0.71523,0.649729,0.22754,0.209201,0.392441,0.548261,0.183712,0.540729,0.754548,0.25915,0.830668,0.616842,0.302194
0.794994,0.171228,0.700899,0.385522,0.381291,0.417258,0.193067,0.685121,0.616747,0.230407,0.199578,0.369451,0.535687,0.154082,0.530601,0.729984,0.24444,0.830399,0.601076,0.29124
0.794994,0.171228,0.700899,0.385522,0.381291,0.417258,0.193067,0.685121,0.616747,0.230407,0.199578,0.369451,0.535687,0.154082,0.530601,0.729984,0.24444,0.830399,0.601076,0.29124
0.789406,0.167402,0.699248,0.370464,0.361845,0.422062,0.184992,0.692207,0.620852,0.212504,0.221576,0.369977,0.537278,0.126664,0.543689,0.722171,0.230589,0.817862,0.605041,0.299381
0.764453,0.170637,0.716488,0.385503,0.370042,0.432221,0.163286,0.665528,0.616814,0.199097,0.225417,0.358011,0.512124,0.137614,0.553873,0.694133,0.236489,0.80283,0.569293,0.281464
0.780911,0.115909,0.714662,0.408776,0.39113,0.445042,0.158358,0.670248,0.600759,0.182253,0.246414,0.356291,0.479115,0.149982,0.547701,0.713956,0.251446,0.818682,0.593788,0.316682
0.764826,0.136444,0.714445,0.438965,0.381293,0.450024,0.16282,0.660148,0.545917,0.173398,0.214813,0.329089,0.478952,0.154947,0.545384,0.705886,0.237939,0.818936,0.597838,0.295495
0.779226,0.115304,0.721407,0.424372,0.399088,0.434801,0.165144,0.665094,0.541866,0.182824,0.216494,0.331744,0.486841,0.159811,0.538742,0.693303,0.249484,0.808101,0.579204,0.30266
0.785726,0.12931,0.717846,0.440761,0.405297,0.44373,0.153872,0.658297,0.552546,0.167783,0.215743,0.329209,0.473297,0.153595,0.509278,0.700875,0.260105,0.822419,0.566444,0.286793
0.766209,0.129478,0.721646,0.503782,0.376573,0.435685,0.203116,0.683265,0.545551,0.228698,0.187754,0.335006,0.485047,0.175818,0.508417,0.656696,0.258908,0.835561,0.611548,0.295435
0.772334,0.150556,0.710304,0.488727,0.330419,0.446686,0.23731,0.683697,0.554576,0.245769,0.20077,0.343881,0.49508,0.146816,0.501816,0.672528,0.268754,0.810234,0.620716,0.306316
0.763939,0.142833,0.720764,0.503678,0.317764,0.432743,0.237737,0.677096,0.52824,0.206134,0.179293,0.321757,0.483649,0.146146,0.557809,0.633673,0.287884,0.807484,0.684362,0.269005
0.789057,0.135413,0.71468,0.52436,0.317618,0.405873,0.265118,0.687642,0.528286,0.214549,0.150402,0.331061,0.468402,0.145916,0.544944,0.649167,0.270158,0.818241,0.6795,0.259187
0.813625,0.125767,0.704717,0.521736,0.325854,0.420732,0.216244,0.690027,0.54373,0.163135,0.223689,0.287087,0.455691,0.148836,0.556873,0.658882,0.244198,0.781183,0.679127,0.248017
0.808941,0.137348,0.716543,0.502989,0.282467,0.440196,0.163331,0.694421,0.539326,0.167081,0.287507,0.279313,0.433117,0.124766,0.583047,0.66514,0.232346,0.80291,0.691963,0.273091
0.792928,0.133901,0.720746,0.527953,0.271873,0.422452,0.167702,0.688868,0.547026,0.167591,0.293287,0.276187,0.443221,0.148418,0.602758,0.652352,0.240598,0.801274,0.69316,0.280188
0.774252,0.143204,0.732118,0.532686,0.267948,0.423022,0.157228,0.707588,0.540704,0.184525,0.314796,0.273198,0.41807,0.12474,0.611153,0.668309,0.241757,0.797747,0.678889,0.253825
0.747958,0.152262,0.739811,0.533745,0.268973,0.444074,0.161404,0.694815,0.536215,0.195643,0.330616,0.281397,0.443392,0.129072,0.598019,0.665158,0.255655,0.791182,0.698886,0.240479
0.727046,0.14395,0.730693,0.536467,0.318961,0.453736,0.178925,0.692701,0.539439,0.189283,0.340581,0.257415,0.441534,0.122454,0.578759,0.649566,0.242926,0.82253,0.679929,0.260438
0.741528,0.135749,0.73613,0.540401,0.321666,0.461756,0.134701,0.687275,0.534294,0.220306,0.322204,0.244185,0.433434,0.147384,0.587529,0.632088,0.26106,0.799046,0.651249,0.27961
0.765377,0.143858,0.732975,0.528213,0.381555,0.479444,0.133919,0.661294,0.538913,0.225916,0.335538,0.223343,0.412702,0.154417,0.576796,0.637716,0.250619,0.780403,0.676314,0.258924
0.754959,0.138458,0.730284,0.529407,0.38149,0.471288,0.154419,0.664457,0.518756,0.219096,0.316682,0.233353,0.427994,0.160873,0.586346,0.659557,0.217008,0.789191,0.670893,0.296124
