'InvCoshPar_uu_width','InvCoshPar_ud_width','InvCoshPar_us_width','InvCoshPar_ss_width'
0.789306,0.737672,0.782884,0.705579
0.756993,0.728726,0.73205,0.696883
0.778803,0.737161,0.756601,0.713968
0.777485,0.746443,0.724057,0.70988
0.75667,0.741735,0.724712,0.713387
0.766355,0.77587,0.756779,0.717493
0.809531,0.793844,0.801672,0.692758
0.785602,0.789134,0.822249,0.723407
0.833418,0.787819,0.861206,0.722188
0.794878,0.815398,0.846013,0.679428
0.75539,0.809125,0.879262,0.657564
0.75539,0.809125,0.879262,0.657564
0.765453,0.862425,0.914765,0.661658
0.809641,0.882821,0.906885,0.683518
0.82909,0.863203,0.945175,0.721785
0.820202,0.859828,0.946778,0.665147
0.810127,0.832657,0.950447,0.69408
0.805635,0.830454,0.952415,0.670462
0.815686,0.858178,0.951905,0.687601
0.801826,0.871997,0.959831,0.687867
0.818711,0.870228,0.93106,0.701738
0.80395,0.842539,0.941499,0.688615
0.834944,0.855872,0.949954,0.730898
0.848569,0.801324,1.04918,0.718787
0.882851,0.790809,0.953757,0.771425
0.849219,0.817129,0.875023,0.698122
0.765361,0.793189,0.819593,0.665713
0.776443,0.817783,0.818981,0.660493
0.737054,0.743573,0.781564,0.636896
0.774139,0.674933,0.781803,0.667165
0.781025,0.696637,0.769151,0.699143
0.767007,0.768639,0.733842,0.714511
0.71117,0.855641,0.768497,0.685202
0.773921,0.839289,0.754748,0.727106
0.773921,0.839289,0.754748,0.727106
0.779207,0.859487,0.798753,0.686777
0.750661,0.884253,0.823974,0.675958
0.760965,0.962884,0.811008,0.712981
0.74099,0.973999,0.773318,0.692866
0.774928,0.985592,0.805133,0.711132
0.786432,1.01083,0.833501,0.720249
0.800381,1.01758,0.858271,0.718768
0.798347,1.0351,0.869371,0.743577
0.801026,1.00273,0.878592,0.709901
0.784689,0.976897,0.887637,0.712961
0.750457,0.943234,0.853943,0.686512
0.774981,0.954534,0.825789,0.714183
0.764391,0.93435,0.840787,0.727441
0.766961,0.941772,0.849758,0.727185
0.754546,0.935169,0.809605,0.739571
0.774154,0.887987,0.79731,0.724665
0.760109,0.859914,0.809058,0.671548
0.747388,0.783975,0.794802,0.664748
0.755833,0.752943,0.789332,0.702078
0.797393,0.763645,0.846674,0.704936
0.790295,0.79543,0.785003,0.718883
0.725323,0.811703,0.751449,0.663485
0.764971,0.802525,0.772978,0.693817
0.7687,0.787688,0.784041,0.712171
0.813922,0.69728,0.849484,0.682889
0.834953,0.697311,0.899255,0.68767
0.834953,0.697311,0.899255,0.68767
0.839315,0.764914,0.907316,0.726653
