'InvCoshPar_uu_width','InvCoshPar_ud_width','InvCoshPar_us_width','InvCoshPar_ss_width'
0.769648,1.49631,1.02686,1.18748
0.780453,1.46515,1.03643,1.15638
0.815842,1.45573,0.922656,1.16554
0.850991,1.47903,0.952649,1.08806
0.846755,1.48039,0.920543,1.10327
0.846965,1.49109,0.909246,1.13902
0.822455,1.47864,1.0207,1.11046
0.823795,1.42447,1.04825,1.10368
0.795908,1.4143,1.07196,1.08543
0.805936,1.36842,1.08763,1.07056
0.776427,1.36095,1.12701,1.11496
0.782783,1.39835,1.11703,1.14169
0.768422,1.34092,1.1318,1.1626
0.758655,1.33995,1.21213,1.14136
0.772507,1.40888,1.20418,1.13679
0.762584,1.436,1.20164,1.13257
0.751564,1.42901,1.20324,1.12667
0.774045,1.434,1.20745,1.11095
0.761963,1.44406,1.17908,1.13198
0.753654,1.42536,1.17617,1.15358
0.796513,1.40073,1.12686,1.1143
0.81219,1.39672,1.11142,1.05662
0.819893,1.39162,1.03933,1.07757
0.810122,1.468,1.07467,1.13554
0.776365,1.51829,1.10774,1.18717
0.733337,1.46889,1.21117,1.16497
0.750918,1.5124,1.2561,1.18851
0.754381,1.59187,1.1978,1.22763
0.745345,1.62051,1.23722,1.2388
0.755826,1.5821,1.19253,1.22091
0.741543,1.55938,1.27947,1.23051
0.734314,1.5573,1.28738,1.2304
0.734705,1.57183,1.28111,1.21659
0.759644,1.62109,1.27884,1.24255
0.732463,1.63285,1.2917,1.28611
0.746414,1.6565,1.25005,1.29831
0.737277,1.61689,1.28109,1.20056
0.74099,1.61407,1.29328,1.19376
0.731429,1.57535,1.28697,1.21783
0.740227,1.55459,1.29855,1.21791
0.744586,1.54847,1.30011,1.21433
0.736167,1.51768,1.30431,1.22643
0.712304,1.47588,1.30559,1.22168
0.720966,1.46608,1.35283,1.22859
0.712575,1.45145,1.3572,1.21796
0.70006,1.4802,1.36742,1.2321
0.694395,1.4814,1.40682,1.18976
0.693962,1.45943,1.40906,1.18434
0.743107,1.33976,1.34321,1.17213
0.742381,1.35744,1.36317,1.17351
0.710399,1.38232,1.33609,1.15662
0.73517,1.32982,1.25838,1.16899
0.715558,1.34144,1.25584,1.18936
0.72819,1.32489,1.29233,1.1688
0.72819,1.32489,1.29233,1.1688
0.725496,1.3316,1.32492,1.21797
0.725496,1.3316,1.32492,1.21797
0.730725,1.34238,1.30581,1.20768
0.717857,1.38882,1.35229,1.18836
0.717857,1.38882,1.35229,1.18836
0.726456,1.30917,1.3137,1.21158
0.726456,1.30917,1.3137,1.21158
0.746601,1.34198,1.22546,1.16272
0.728685,1.30746,1.24525,1.25348
0.728346,1.35892,1.30662,1.29879
0.717202,1.33833,1.34041,1.27273
0.725139,1.36416,1.32341,1.27313
0.705707,1.37362,1.32058,1.25968
0.712248,1.37527,1.26527,1.23441
0.728294,1.28708,1.26382,1.16299
0.768237,1.35399,1.23726,1.13866
0.750368,1.35306,1.23512,1.12474
0.751366,1.29823,1.19903,1.14176
0.765605,1.32078,1.17576,1.1741
0.805514,1.29696,1.12829,1.18412
0.754182,1.34894,1.0748,1.16451
0.758712,1.39941,1.06183,1.16691
0.750092,1.3665,1.03951,1.21539
0.773982,1.37313,1.05006,1.25088
0.77032,1.39965,1.03966,1.27557
0.745652,1.39719,1.025,1.26595
0.74538,1.40569,1.01207,1.26716
0.788731,1.44219,1.02494,1.26253
0.769578,1.54188,0.94995,1.26346
0.756997,1.54434,1.00411,1.24878
0.752799,1.59937,1.04987,1.24075
0.758169,1.58286,1.04256,1.24677
0.747042,1.58679,1.03083,1.2897
0.754648,1.56425,1.01587,1.27678
0.783692,1.51304,0.973356,1.23611
0.800607,1.57054,1.01575,1.19606
0.810266,1.43805,0.961058,1.17965
0.769702,1.41429,1.01847,1.23204
0.751952,1.4234,1.05284,1.24494
0.761941,1.38076,1.07225,1.24392
0.762804,1.37023,1.07673,1.27072
0.737619,1.37693,1.09655,1.27401
0.759939,1.35985,1.11686,1.24109
0.759081,1.39732,1.15298,1.1998
0.762425,1.36482,1.15993,1.19103
0.736063,1.32085,1.17786,1.19359
0.697843,1.34463,1.21796,1.27484
0.75275,1.35031,1.18131,1.22237
0.74495,1.32007,1.20249,1.24731
0.730042,1.28703,1.24285,1.21233
0.736529,1.2637,1.26401,1.21471
0.721304,1.29613,1.2932,1.21105
0.727704,1.35891,1.29801,1.15861
0.719899,1.40582,1.31235,1.14219
0.739669,1.48277,1.31105,1.1429
0.717988,1.47476,1.30933,1.17577
0.726137,1.48414,1.25299,1.21222
0.748471,1.49583,1.21411,1.22924
0.732229,1.46382,1.18037,1.21915
0.747888,1.49376,1.15241,1.23784
0.747888,1.49376,1.15241,1.23784
0.716292,1.52994,1.22473,1.28784
0.710447,1.51906,1.24294,1.2879
0.715638,1.47915,1.23458,1.32523
0.702292,1.5745,1.26084,1.31221
0.73437,1.6208,1.20164,1.29652
0.716362,1.611,1.23523,1.30205
0.725165,1.58269,1.26015,1.31071
0.741181,1.60078,1.19512,1.22493
