'InvCoshPar_uu_width','InvCoshPar_ud_width','InvCoshPar_us_width','InvCoshPar_ss_width'
1.28413,-0.292454,1.68494,1.52232
1.18101,-0.044908,1.70662,1.62671
1.18101,-0.044908,1.70662,1.62671
1.25951,-0.167828,1.66763,1.64709
1.25951,-0.167828,1.66763,1.64709
1.27123,-0.0271847,1.47171,1.61391
1.27123,-0.0271847,1.47171,1.61391
1.35592,-0.0922039,1.44728,1.52531
1.31491,-0.0740203,1.45021,1.48157
1.17348,-0.0785025,1.35576,1.46762
1.17348,-0.0785025,1.35576,1.46762
1.17348,-0.0785025,1.35576,1.46762
1.17348,-0.0785025,1.35576,1.46762
1.12479,-0.113086,1.37486,1.472
0.996331,-0.202526,1.32637,1.3948
0.941872,-0.258521,1.30756,1.3924
0.893158,-0.254628,1.33091,1.41277
0.893158,-0.254628,1.33091,1.41277
1.00046,-0.286092,1.40007,1.37004
1.00046,-0.286092,1.40007,1.37004
1.00411,-0.365165,1.51249,1.35917
1.00411,-0.365165,1.51249,1.35917
1.00411,-0.365165,1.51249,1.35917
1.00411,-0.365165,1.51249,1.35917
1.00411,-0.365165,1.51249,1.35917
1.00411,-0.365165,1.51249,1.35917
1.00411,-0.365165,1.51249,1.35917
1.00411,-0.365165,1.51249,1.35917
1.00411,-0.365165,1.51249,1.35917
0.920562,-0.388102,1.51601,1.30616
0.920562,-0.388102,1.51601,1.30616
0.98194,-0.308251,1.35906,1.38766
1.03867,-0.316227,1.34534,1.40964
0.998053,-0.349361,1.2773,1.4043
0.998053,-0.349361,1.2773,1.4043
1.0508,-0.314042,1.33603,1.53643
0.979348,-0.304105,1.32312,1.49999
0.905501,-0.139674,1.30072,1.39213
0.848202,-0.151718,1.46446,1.39282
0.848202,-0.151718,1.46446,1.39282
0.849151,-0.156049,1.57543,1.50739
0.879295,-0.136289,1.5236,1.4124
0.848519,-0.0365642,1.39196,1.47657
0.848519,-0.0365642,1.39196,1.47657
0.848519,-0.0365642,1.39196,1.47657
0.848519,-0.0365642,1.39196,1.47657
0.848519,-0.0365642,1.39196,1.47657
0.848519,-0.0365642,1.39196,1.47657
0.75449,-0.0668107,1.25189,1.49677
0.75449,-0.0668107,1.25189,1.49677
0.720576,0.0927711,1.27758,1.57177
0.720576,0.0927711,1.27758,1.57177
0.720576,0.0927711,1.27758,1.57177
0.720576,0.0927711,1.27758,1.57177
0.800658,0.0153171,1.27165,1.61956
0.822791,-0.00362536,1.3023,1.5815
0.704955,-0.0116239,1.40173,1.67064
0.704955,-0.0116239,1.40173,1.67064
0.704955,-0.0116239,1.40173,1.67064
0.704955,-0.0116239,1.40173,1.67064
0.704955,-0.0116239,1.40173,1.67064
0.640716,0.0135258,1.44156,1.63779
0.481163,-0.0137136,1.60895,1.60942
0.481163,-0.0137136,1.60895,1.60942
0.481163,-0.0137136,1.60895,1.60942
0.48691,-0.0134159,1.71338,1.47413
0.48691,-0.0134159,1.71338,1.47413
0.48691,-0.0134159,1.71338,1.47413
0.40708,0.0641007,1.60344,1.38902
0.493198,0.149682,1.47259,1.33424
0.393138,0.14555,1.41657,1.34979
0.393138,0.14555,1.41657,1.34979
0.389559,0.103785,1.48121,1.40939
0.29909,0.0923851,1.58207,1.50488
0.188475,0.139023,1.66009,1.40784
0.188475,0.139023,1.66009,1.40784
0.247033,0.134926,1.63547,1.51082
0.346874,0.0443878,1.57984,1.44478
0.326809,-0.00299142,1.70508,1.50058
0.383393,0.0149651,1.64667,1.55819
0.382473,0.107943,1.60749,1.49984
0.382473,0.107943,1.60749,1.49984
0.382473,0.107943,1.60749,1.49984
0.382473,0.107943,1.60749,1.49984
0.432782,0.0850117,1.62489,1.41623
0.269613,0.0471354,1.50964,1.47927
0.239977,0.104813,1.37502,1.48531
0.239977,0.104813,1.37502,1.48531
0.276028,0.132554,1.45384,1.50374
